cell	cell_type
RD_SRR11619166	B cell
RD_SRR11619167	Endothelial
RD_SRR11619172	Macrophage
RD_SRR11619173	B cell
RD_SRR11619174	B cell
RD_SRR11619177	Macrophage
RD_SRR11619178	T cell
RD_SRR11619181	Fibroblast
RD_SRR11619182	T cell
RD_SRR11619183	B cell
RD_SRR11619186	Macrophage
RD_SRR11619187	B cell
RD_SRR11619189	Macrophage
RD_SRR11619190	T cell
RD_SRR11619191	Endothelial
RD_SRR11619197	T cell
RD_SRR11619198	T cell
RD_SRR11619202	B cell
RD_SRR11619203	B cell
RD_SRR11619205	Macrophage
RD_SRR11619206	Epithelial
RD_SRR11619207	B cell
RD_SRR11619212	T cell
RD_SRR11619213	cDC
RD_SRR11619214	cDC
RD_SRR11619220	T cell
RD_SRR11619221	Mast cell
RD_SRR11619228	B cell
RD_SRR11619229	cDC
RD_SRR11619230	Macrophage
RD_SRR11619234	T cell
RD_SRR11619235	Epithelial
RD_SRR11619236	cDC
RD_SRR11619239	Mast cell
RD_SRR11619240	cDC
RD_SRR11619241	Macrophage
RD_SRR11619247	T cell
RD_SRR11619248	cDC
RD_SRR11619249	Macrophage
RD_SRR11619253	Macrophage
RD_SRR11619254	Macrophage
RD_SRR11619257	T cell
RD_SRR11619261	T cell
