"logFC","logCPM","F","PValue","FDR","gene","cluster_id","contrast","Significant","neglogFDR"
11.2790437361486,2.41482951103029,182.983308927693,7.4046493180099e-34,1.51913785408291e-29,"RAMP2","Endothelial","TN - RD",TRUE,28.8184028143196
12.647657816943,2.62312731706686,169.080107324284,1.06165264489559e-31,1.45205771084519e-27,"SOX18","Endothelial","TN - RD",TRUE,26.8380161226142
11.659984691247,2.30900278347912,144.089939411914,5.27916871863349e-28,5.41537127157423e-24,"ROBO4","Endothelial","TN - RD",TRUE,23.2663717632919
11.3563687741511,2.30709818580725,137.286500398837,6.08751214679616e-27,4.9956559681468e-23,"NNMT","Endothelial","TN - RD",TRUE,22.3014074774796
11.8584877986758,2.56000354425086,130.054948149413,5.90071617783753e-26,4.03530310348383e-22,"HTRA1","Endothelial","TN - RD",TRUE,21.3941238385809
9.89735867810117,2.01704867421924,125.014327476724,5.68122802403653e-25,3.33017354688953e-21,"RAMP2-AS1","Endothelial","TN - RD",TRUE,20.4775331333127
11.6602063760565,2.24334594135985,119.637411917355,3.98579414414057e-24,2.0443138165297e-20,"TIE1","Endothelial","TN - RD",TRUE,19.6894524361665
9.64330667918716,1.98904936064093,117.134162982361,1.20571889109558e-23,5.49700639327044e-20,"ECSCR","Endothelial","TN - RD",TRUE,19.2598737579296
12.412105462972,2.32856965841921,114.366484543287,3.05460076246482e-23,1.25336378485456e-19,"TSPAN7","Endothelial","TN - RD",TRUE,18.9019228581162
-14.5766143658579,4.28025317246713,944.405847014159,1.6192658627231e-52,6.64417168792543e-48,"WFDC2","Epithelial","PD - RD",TRUE,47.1775591537409
-13.3892981157275,3.96142797148516,761.381629749899,6.8415811240451e-52,1.40361878340909e-47,"FOLR1","Epithelial","PD - RD",TRUE,46.8527508286325
-15.6406466672686,4.56365453058403,1094.26792976493,3.23309401979638e-51,4.42201046067616e-47,"PIGR","Epithelial","PD - RD",TRUE,46.3543802343922
-13.0896597811608,3.87633765031469,702.554659651363,6.55719197857192e-51,6.72636753161908e-47,"CLDN4","Epithelial","PD - RD",TRUE,46.1722194063355
13.5313572821765,7.58615744338649,368.007580271808,1.13526205450567e-49,9.31641452409534e-46,"RGS1","Epithelial","PD - RD",TRUE,45.0307511962299
-13.035373656954,3.851619895311,655.711337107168,1.51177013064523e-49,1.03384920001058e-45,"TSPAN1","Epithelial","PD - RD",TRUE,44.9855428039688
-13.2242558598264,3.94263449771579,627.897254703202,2.86911352288217e-49,1.68179237244144e-45,"TSPAN8","Epithelial","PD - RD",TRUE,44.7742276215398
12.4801883446227,6.85915344808906,318.875689978009,1.14635018573367e-46,5.87963010262801e-43,"LSP1","Epithelial","PD - RD",TRUE,42.2306499952573
-13.4541155824343,3.95491410934762,580.85821611663,1.66811665386749e-46,7.60512917127677e-43,"BACE2","Epithelial","PD - RD",TRUE,42.1188934051618
-12.1578509318879,3.61577642907958,528.243354217527,2.68278689270913e-46,1.10080111781641e-42,"CLDN3","Epithelial","PD - RD",TRUE,41.9582911381009
12.0791856241107,4.51153528769612,210.71547308394,1.82356647182592e-33,7.48245794719611e-29,"IL32","Epithelial","TN - PD",TRUE,28.1259557152966
12.3146621972852,3.21048686448982,216.738712894654,9.23742137275995e-28,1.89514936883543e-23,"TRAC","Epithelial","TN - PD",TRUE,22.7223565548228
12.9205708670016,3.37146557137406,163.506272494349,4.82122099471108e-25,6.59414466183284e-21,"LCK","Epithelial","TN - PD",TRUE,20.1808415295698
2.54861422017709,13.2240140335656,131.002184135048,2.74501385791003e-24,2.81583521544411e-20,"ACTB","Epithelial","TN - PD",TRUE,19.5503927639892
-9.55560237438947,5.86412770499991,106.712018374977,9.81111571367747e-22,8.05139399927228e-18,"APP","Epithelial","TN - PD",TRUE,17.0941289204049
-11.4102303379144,3.95700154685273,113.807176575341,3.2000701180119e-21,2.1884212847044e-17,"SPIB","Epithelial","TN - PD",TRUE,16.6598690699023
-11.5568921322542,3.88702484022587,111.040631557819,1.58189760399987e-20,9.27263178390325e-17,"LILRB4","Epithelial","TN - PD",TRUE,16.0327969857033
-10.7752561324629,5.69564442869144,98.4622002125043,4.02274070771248e-20,2.06326370898573e-16,"PLAUR","Epithelial","TN - PD",TRUE,15.6854452606172
12.8496229568855,3.04228761092202,111.735740463603,7.25729326911843e-20,3.30868063798297e-16,"PRF1","Epithelial","TN - PD",TRUE,15.4803451499919
12.2390937343785,3.07484106862892,92.7048732458287,1.3341371404799e-18,5.47423151481711e-15,"MKI67","Epithelial","TN - PD",TRUE,14.2616768394649
14.1355850175396,7.58615744338649,380.759259673404,9.92491225428757e-51,4.07238999617928e-46,"RGS1","Epithelial","TN - RD",TRUE,45.3901506380686
